"Preventable-injury-related deaths by month, leading cause, and year, United States, 1999-2021","","","","","","","","","","","","","","","","","","","","","","","","",""
"Year","Month","All causes","Poisoning","Motor vehicle","Falls","Choking (a)","Drowning (b)","Fire, flames, or smoke","Mechanical suffocation","Natural heat or cold","Struck by or against","All other causes","","","","","","","","","","","","",""
"2014","September","11,022","3,274","3,069","2,661","363","285","117","161","40","87","965","","","","","","","","","","","","",""
"2014","October","11,579","3,569","3,304","2,679","384","203","177","159","24","72","1,008","","","","","","","","","","","","",""
"2014","November","11,644","3,584","3,175","2,724","421","145","272","160","124","71","968","","","","","","","","","","","","",""
"2014","December","11,971","3,706","3,095","2,976","466","122","304","127","139","64","972","","","","","","","","","","","","",""
"2013","Total","130,557","38,851","35,369","30,208","4,864","3,391","2,760","1,737","1,097","811","11,469","","","","","","","","","","","","",""
"2013","January","11,305","3,396","2,642","2,823","522","155","345","159","179","58","1,026","","","","","","","","","","","","",""
"2013","February","10,035","3,231","2,296","2,490","412","133","298","133","125","55","862","","","","","","","","","","","","",""
"2013","March","10,909","3,419","2,791","2,596","437","180","257","149","87","62","931","","","","","","","","","","","","",""
"2013","April","10,386","3,188","2,719","2,428","386","197","259","155","34","72","948","","","","","","","","","","","","",""
"2013","May","10,797","3,239","2,988","2,437","375","334","193","148","33","71","979","","","","","","","","","","","","",""
"2013","June","11,071","3,174","3,181","2,369","348","572","171","133","93","66","964","","","","","","","","","","","","",""
"2013","July","11,305","3,153","3,119","2,462","369","637","151","157","174","74","1,009","","","","","","","","","","","","",""
"2013","August","11,316","3,188","3,378","2,451","419","417","161","152","48","73","1,029","","","","","","","","","","","","",""
"2013","September","10,701","3,076","3,184","2,450","336","309","164","127","44","64","947","","","","","","","","","","","","",""
"2013","October","10,831","3,109","3,173","2,603","405","184","210","122","34","71","920","","","","","","","","","","","","",""
"2013","November","10,888","3,272","3,076","2,495","417","153","248","163","82","71","911","","","","","","","","","","","","",""
"2013","December","11,013","3,406","2,822","2,604","438","120","303","139","164","74","943","","","","","","","","","","","","",""
"2012","Total","127,792","36,332","36,415","28,753","4,634","3,551","2,464","1,604","968","859","12,212","","","","","","","","","","","","",""
"2012","January","10,496","3,156","2,782","2,457","407","150","284","141","132","67","920","","","","","","","","","","","","",""
"2012","February","9,816","3,061","2,533","2,203","392","157","273","123","73","70","931","","","","","","","","","","","","",""
"2012","March","10,651","3,163","2,954","2,352","409","226","250","131","44","98","1,024","","","","","","","","","","","","",""
"2012","April","10,131","2,897","2,906","2,314","375","213","213","150","28","74","961","","","","","","","","","","","","",""
"2012","May","10,529","2,904","3,145","2,330","352","362","169","141","30","69","1,027","","","","","","","","","","","","",""
"2012","June","11,094","2,997","3,235","2,346","388","582","142","134","90","76","1,104","","","","","","","","","","","","",""
"2012","July","11,530","3,037","3,336","2,383","375","651","156","156","232","73","1,131","","","","","","","","","","","","",""
"2012","August","11,056","3,042","3,267","2,449","361","451","144","123","101","68","1,050","","","","","","","","","","","","",""
"2012","September","10,512","2,906","3,151","2,378","361","318","126","140","24","61","1,047","","","","","","","","","","","","",""
"2012","October","10,644","3,009","3,090","2,541","363","183","161","117","37","78","1,065","","","","","","","","","","","","",""
"2012","November","10,307","2,953","3,022","2,377","372","123","254","111","59","64","972","","","","","","","","","","","","",""
"2012","December","11,026","3,207","2,994","2,623","479","135","292","137","118","61","980","","","","","","","","","","","","",""
"2011","Total","126,438","36,280","35,303","27,483","4,708","3,556","2,746","1,534","1,259","827","12,742","","","","","","","","","","","","",""
"2011","January","10,214","3,096","2,471","2,373","444","117","377","132","195","66","943","","","","","","","","","","","","",""
"2011","February","9,500","3,059","2,236","2,142","399","138","323","124","166","51","862","","","","","","","","","","","","",""
"2011","March","10,262","3,117","2,662","2,339","455","185","282","121","64","49","988","","","","","","","","","","","","",""
"2011","April","10,589","3,058","2,805","2,238","408","260","226","116","28","73","1,377","","","","","","","","","","","","",""
"2011","May","10,893","3,130","3,030","2,260","374","390","199","134","37","60","1,279","","","","","","","","","","","","",""
"2011","June","10,553","2,778","3,130","2,181","371","567","145","128","94","91","1,068","","","","","","","","","","","","",""
"2011","July","11,704","3,034","3,417","2,270","352","759","162","128","270","71","1,241","","","","","","","","","","","","",""
"2011","August","10,955","2,952","3,288","2,293","364","415","174","154","173","84","1,058","","","","","","","","","","","","",""
"2011","September","10,176","2,864","3,080","2,184","332","280","166","128","35","83","1,024","","","","","","","","","","","","",""
"2011","October","10,767","3,056","3,336","2,443","398","169","174","139","29","69","954","","","","","","","","","","","","",""
"2011","November","10,311","3,023","2,962","2,322","397","132","241","122","60","72","980","","","","","","","","","","","","",""
"2011","December","10,514","3,113","2,886","2,438","414","144","277","108","108","58","968","","","","","","","","","","","","",""
"2010","Total","120,859","33,041","35,332","26,009","4,570","3,782","2,782","1,595","1,184","779","11,785","","","","","","","","","","","","",""
"2010","January","9,876","2,863","2,515","2,264","413","152","375","131","186","57","920","","","","","","","","","","","","",""
"2010","February","8,873","2,744","2,180","1,983","367","134","308","121","154","57","825","","","","","","","","","","","","",""
"2010","March","9,756","2,963","2,575","2,195","416","182","282","123","69","55","896","","","","","","","","","","","","",""
"2010","April","9,808","2,694","2,996","2,055","370","264","235","141","44","63","946","","","","","","","","","","","","",""
"2010","May","10,379","2,817","3,169","2,110","357","475","195","153","40","57","1,006","","","","","","","","","","","","",""
"2010","June","10,021","2,634","3,035","1,970","341","573","169","139","88","78","994","","","","","","","","","","","","",""
"2010","July","10,919","2,715","3,296","2,109","383","683","158","152","178","92","1,153","","","","","","","","","","","","",""
"2010","August","10,728","2,671","3,357","2,217","382","535","145","160","130","76","1,055","","","","","","","","","","","","",""
"2010","September","9,955","2,595","3,155","2,108","354","311","160","135","38","63","1,036","","","","","","","","","","","","",""
"2010","October","10,413","2,706","3,311","2,324","395","200","226","120","28","69","1,034","","","","","","","","","","","","",""
"2010","November","9,898","2,700","2,965","2,319","383","148","204","107","54","49","969","","","","","","","","","","","","",""
"2010","December","10,233","2,939","2,778","2,355","409","125","325","113","175","63","951","","","","","","","","","","","","",""
"2009","Total","118,021","31,758","36,216","24,792","4,370","3,517","2,756","1,569","968","755","11,320","","","","","","","","","","","","",""
"2009","January","9,972","2,811","2,820","2,128","400","101","398","136","172","75","931","","","","","","","","","","","","",""
"2009","February","8,933","2,611","2,481","1,912","391","134","287","93","89","59","876","","","","","","","","","","","","",""
"2009","March","9,840","2,788","2,833","2,202","391","204","295","136","76","59","856","","","","","","","","","","","","",""
"2009","April","9,620","2,558","3,019","2,024","345","251","243","133","34","69","944","","","","","","","","","","","","",""
"2009","May","10,120","2,702","3,272","1,972","365","382","209","141","27","60","990","","","","","","","","","","","","",""
"2009","June","10,055","2,474","3,216","1,984","362","552","170","127","119","58","993","","","","","","","","","","","","",""
"2009","July","10,473","2,605","3,326","2,073","351","616","149","133","98","79","1,043","","","","","","","","","","","","",""
"2009","August","10,272","2,625","3,353","2,074","314","498","123","131","73","61","1,020","","","","","","","","","","","","",""
"2009","September","9,541","2,522","3,077","1,998","335","274","138","138","31","70","958","","","","","","","","","","","","",""
"2009","October","9,795","2,658","3,087","2,144","348","194","200","136","30","52","946","","","","","","","","","","","","",""
"2009","November","9,484","2,606","2,984","2,002","358","167","225","134","48","67","893","","","","","","","","","","","","",""
"2009","December","9,916","2,798","2,748","2,279","410","144","319","131","171","46","870","","","","","","","","","","","","",""
"2008","Total","121,902","31,116","39,790","24,013","4,366","3,548","2,912","1,759","937","875","12,586","","","","","","","","","","","","",""
"2008","January","10,044","2,686","3,043","2,056","401","138","358","146","139","61","1,016","","","","","","","","","","","","",""
"2008","February","9,917","2,742","2,988","1,948","383","147","303","147","128","58","1,073","","","","","","","","","","","","",""
"2008","March","10,160","2,719","2,998","2,141","397","207","318","175","63","84","1,058","","","","","","","","","","","","",""
