DATE,IPN31152N
1991-05-01,128.3347
1991-06-01,157.9818
1991-07-01,141.1181
1991-08-01,136.1010
1991-09-01,121.3650
1991-10-01,104.0885
1991-11-01,92.1650
1991-12-01,89.2760
1992-01-01,90.5024
1992-02-01,110.7505
1992-03-01,131.8729
1992-04-01,135.6335
1992-05-01,143.2360
1992-06-01,158.7812
1992-07-01,147.5213
1992-08-01,144.3846
1992-09-01,127.4552
1992-10-01,109.8588
1992-11-01,99.6405
1992-12-01,93.2638
1993-01-01,95.6683
1993-02-01,123.8302
1993-03-01,134.0427
1993-04-01,141.2114
1993-05-01,151.0466
1993-06-01,165.6164
1993-07-01,159.9164
1993-08-01,152.7161
1993-09-01,128.7108
1993-10-01,109.9229
1993-11-01,96.6262
1993-12-01,90.8045
1994-01-01,99.8037
1994-02-01,120.0974
1994-03-01,134.6885
1994-04-01,141.7184
1994-05-01,145.2604
1994-06-01,159.7411
1994-07-01,156.3503
1994-08-01,143.9980
1994-09-01,121.6968
1994-10-01,110.2712
1994-11-01,102.3890
1994-12-01,94.4179
1995-01-01,105.2684
1995-02-01,122.9613
1995-03-01,139.2933
1995-04-01,150.5013
1995-05-01,149.1539
1995-06-01,174.9856
1995-07-01,173.5369
1995-08-01,165.2304
1995-09-01,138.3650
1995-10-01,127.4037
1995-11-01,108.4166
1995-12-01,96.0751
1996-01-01,109.1185
1996-02-01,129.8399
1996-03-01,145.8933
1996-04-01,152.4614
1996-05-01,157.5065
1996-06-01,184.7255
1996-07-01,169.9373
1996-08-01,153.3851
1996-09-01,136.6635
1996-10-01,113.5485
1996-11-01,97.7284
1996-12-01,94.7276
1997-01-01,103.8966
1997-02-01,127.5289
1997-03-01,138.4988
1997-04-01,137.9538
1997-05-01,142.1157
1997-06-01,158.8872
1997-07-01,146.7873
1997-08-01,137.9647
1997-09-01,116.8553
1997-10-01,105.8228
1997-11-01,94.8090
1997-12-01,83.8161
1998-01-01,96.8889
1998-02-01,118.6258
1998-03-01,129.7937
1998-04-01,134.8119
1998-05-01,141.0168
1998-06-01,149.7633
1998-07-01,139.7420
1998-08-01,130.3294
1998-09-01,115.1097
1998-10-01,96.9085
1998-11-01,82.5244
1998-12-01,78.9347
1999-01-01,86.6666
1999-02-01,100.9388
1999-03-01,106.7333
1999-04-01,113.0035
1999-05-01,116.6185
1999-06-01,129.2270
1999-07-01,122.4868
1999-08-01,120.0005
1999-09-01,103.8439
1999-10-01,92.4128
1999-11-01,84.5964
1999-12-01,79.7754
2000-01-01,93.6505
2000-02-01,111.6595
2000-03-01,125.4884
2000-04-01,136.9991
2000-05-01,136.0713
2000-06-01,150.6426
2000-07-01,145.9401
2000-08-01,132.2879
2000-09-01,117.5846
2000-10-01,114.1212
2000-11-01,92.9428
2000-12-01,88.8055
2001-01-01,101.7009
2001-02-01,116.3393
2001-03-01,123.0594
2001-04-01,134.7935
2001-05-01,132.3781
2001-06-01,148.8526
2001-07-01,141.8856
2001-08-01,135.1627
2001-09-01,128.9893
2001-10-01,115.4460
2001-11-01,105.3971
2001-12-01,104.9094
2002-01-01,121.3204
2002-02-01,144.1150
2002-03-01,155.6812
2002-04-01,169.7402
2002-05-01,165.7216
2002-06-01,189.4476
2002-07-01,173.7935
2002-08-01,163.7676
2002-09-01,151.1085
2002-10-01,137.2084
2002-11-01,114.9369
2002-12-01,105.9699
2003-01-01,125.6678
2003-02-01,142.8660
2003-03-01,145.1436
2003-04-01,151.9068
2003-05-01,147.8270
2003-06-01,163.3850
2003-07-01,146.5816
2003-08-01,141.5896
2003-09-01,127.1374
2003-10-01,116.2057
2003-11-01,107.0170
2003-12-01,93.8172
2004-01-01,104.4362
2004-02-01,126.4085
2004-03-01,140.8736
2004-04-01,149.0921
2004-05-01,150.9106
2004-06-01,169.5478
2004-07-01,157.7414
2004-08-01,153.9934
2004-09-01,144.8698
2004-10-01,139.9571
